"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","0.1W","ARROW PART NUMBER","ARROW PRICE/STOCK","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","DATASHEET LINK","DIMS","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MOUSER PART NUMBER","MOUSER PRICE/STOCK","NETNAME","PARAMETER 1","RS PART NUMBER","RS PRICE/STOCK","SYSTEM","VALUE","VOLT","SHEETPART","DESIGNATOR","DESCRIPTION"
"Kingbright-L-469EGW","Kingbright-L-469EGW","","","","","","","","*","","","","","","","","","","","","","","","","","*","HL?","L-469EGW. светодиод красный /зеленый d=3мм 15/10мКд Цвета свечения красный, зелёный, Длина волны 1 цвета 627 нм, Сила света 1 кристалла 15 мкд, Угол по оризонтали 100 °, Тип линзы белая, матовая"
"Kingbright-L-59EGC","Kingbright-L-59EGC","","","","","","","","*","","","","","","","","","","","","","","","","","*","HL?","L-59EGC является двухцветным индикаторным светодиодом с прозрачной линзой, THT, круглым профилем, мощностью света 150мкд, углом обзора 24°, длиной волны 625нм и 568нм. Высокая эффективность источника красного цвета обеспечивается GaAsP на GaP. Источник света зеленого цвета изготовлено из фосфида галлия."
"Kingbright-L-59GYC","Kingbright-L-59GYC","","","","","","","","*","","","","","","","","","","","","","","","","","*","HL?","L-59GYC, Светодиод зеленый/желтый 24° d=5мм 100/60мКд 568/588нМ"
"L-1394","5.5x2x3.8_LED_RED","5.5x2x3.8_LED_YEL","","","","","","","*","","","","","","","","","","","","","","","","","*","HL?","2mm FLAT TOP LED LAMP"
"LM2937IMP-3.3_NOPB","SOT230P700X180-4N","","","","","","LM2937IMP-3.3/NOPB","https://www.arrow.com/en/products/lm2937imp-3.3nopb/texas-instruments","*","","","https://www.ti.com/lit/ds/symlink/lm2937.pdf?ts=1607582693087&ref_url=https%253A%252F%252Fwww.ti.com%252Fsitesearch%252Fdocs%252Funiversalsearch.tsp%253FsearchTerm%253DLM2937IMP-3.3%252FNOPB","","1.8mm","Texas Instruments","LM2937IMP-3.3/NOPB","926-LM2937IMP3.3NOPB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM2937IMP-33-NOPB/?qs=X1J7HmVL2ZFVwNOBcwuxRQ%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
"LMC7101","SOT23-5","","","","","","","","*","","","","","","","","","","","","","","","","","*","U?","Single, CMOS, 1MHz, Rail-to-Rail In/Out Operational Amplifier"
"LMC7101AYM5-TR","SOT95P280X130-5N","","","","","","","","*","","","http://ww1.microchip.com/downloads/en/DeviceDoc/lmc7101.pdf","","1.3mm","Microchip","LMC7101AYM5-TR","998-LMC7101AYM5TR","https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Micrel/LMC7101AYM5-TR?qs=Y3Q3JoKAO1Qdmu3Nuqy2dQ%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
"LQH43PN1R0N26L","LQH43MN470K03L","","","","","","LQH43PN1R0N26L","https://www.arrow.com/en/products/lqh43pn1r0n26l/murata-manufacturing","*","","","https://psearch.en.murata.com/inductor/product/LQH43PN1R0N26%23.html","","2.8mm","Murata Electronics","LQH43PN1R0N26L","81-LQH43PN1R0N26L","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/LQH43PN1R0N26L?qs=Gufeu08L%2Fl2XSyiKW%252BVtsA%3D%3D","","","","","","","","*","L?","Inductor"
"MAX6950EEE+","SOP64P602X173-16N","","","","","","","","*","","","http://docs-emea.rs-online.com/webdocs/0f72/0900766b80f72b37.pdf","","1.73mm","Maxim Integrated","MAX6950EEE+","700-MAX6950EEE","https://www.mouser.co.uk/ProductDetail/Maxim-Integrated/MAX6950EEE%2b?qs=p6VZ%252BklCkRS56WQh1hRPuA%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
"MAX6954AAX+","SOP80P1030X264-36N","","","","","","","","*","","","http://datasheets.maximintegrated.com/en/ds/MAX6954.pdf","","2.64mm","Maxim Integrated","MAX6954AAX+","700-MAX6954AAX","https://www.mouser.co.uk/ProductDetail/Maxim-Integrated/MAX6954AAX%2b/?qs=1THa7WoU59HhfWPau0CYaQ%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
"MAX7221EWG+","SOIC127P1032X265-24N","","","","","","","","*","","","http://datasheets.maximintegrated.com/en/ds/MAX7219-MAX7221.pdf","","2.65mm","Maxim Integrated","MAX7221EWG+","700-MAX7221EWG","https://www.mouser.co.uk/ProductDetail/Maxim-Integrated/MAX7221EWG%2b?qs=1THa7WoU59EcwjgGV%252Bu7MA%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
"MCP2551-E_P","SOIC127P600X175-8N","","","","","","MCP2551-E/P","https://www.arrow.com/en/products/mcp2551-ep/microchip-technology","*","","","http://componentsearchengine.com/Datasheets/1/MCP2551-E_P.pdf","","4.32mm","Microchip","MCP2551-E/P","579-MCP2551-E/P","https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP2551-E-P/?qs=0st6i8lJel5By%2FScxOd%2FTw%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
"MCP73833-FCI_UN","SOP50P490X110-10N","","","","","","MCP73833-FCI/UN","https://www.arrow.com/en/products/mcp73833-fciun/microchip-technology","*","","","http://docs-emea.rs-online.com/webdocs/0d2b/0900766b80d2b5f2.pdf","","1.1mm","Microchip","MCP73833-FCI/UN","579-MCP73833-FCI/UN","https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP73833-FCI-UN?qs=jZi1jxfVU96PZdBhDFXCmg%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
"Molex_1050170001","Molex_1050170001","","","","","","","","*","Molex_1050170001","https://www.molex.com/molex/products/part-detail/io_connectors/1050170001","","","","","","","","","","","","","","","*","H?","Micro-USB B Receptacle, Bottom Mount, Surface Mount, with Solder Tabs, Lead-Free"
"Mount_Sleeve","Mount_sleeve","Mount_Vert","","","","","","","*","","","","","","","","","","","","","","","","","*","MS?",""
"NE555DR","SOIC127P600X175-8N","","","","","","","","*","","","http://www.ti.com/lit/ds/symlink/ne555.pdf","","1.75mm","Texas Instruments","NE555DR","595-NE555DR","https://www.mouser.com/Search/Refine.aspx?Keyword=595-NE555DR","","","1218414","http://uk.rs-online.com/web/p/products/1218414","","","","*","IC?","Integrated Circuit"
